symbol,industry,sector,volume,pe_ratio,pb_ratio,dividend_yield,pe_comp,pb_comp,div_comp,value_metric,buy_to_sell_ratio
LOOP,Chemicals: Specialty,Process Industries,31916.000000,-23.71,-8.7789,0.0,0,0,0,0,
ZTR,Investment Trusts/Mutual Funds,Miscellaneous,104393.000000,8.395062,0.940037,8.823529,1.7867646480752615,2.6594697868275397,2.9411763333333334,7.387,
IDXX,Medical Specialties,Health Technology,506220.000000,43.970541,28.548,0.0,0,0,0,0,11.0
BBAI,Packaged Software,Technology Services,67931045.000000,-3.72,2.66371,0.0,0,3.378746184832433,0,3.379,
LCID,Motor Vehicles,Consumer Durables,16160462.000000,-0.49,2.70642,0.0,0,1.6996622844939069,0,1.7,3.0
CLF,Steel,Non-Energy Minerals,25988037.000000,-4.54,1.03949,0.0,0,2.4050255413712494,0,2.405,3.0
IGR,Investment Trusts/Mutual Funds,Miscellaneous,645971.000000,39.083333,1.04276,15.351812,0,2.397483601212168,5.117270666666667,7.515,
CVNA,Specialty Stores,Retail Trade,1589470.000000,48.137146,16.8117,0.0,0,0,0,0,17.0
ENTX,Pharmaceuticals: Major,Health Technology,132659.000000,-4.61,4.05358,0.0,0,1.2828166706960267,0,1.283,
SAN,Major Banks,Finance,7401816.000000,11.74628,1.45368,1.542883,1.2770000374586676,1.71977326509273,0,2.997,20.0
MCY,Property/Casualty Insurance,Finance,278766.000000,10.047088,2.24899,1.293938,1.4929699033192503,1.1116101005340175,0,2.605,
SUPN,Pharmaceuticals: Major,Health Technology,627138.000000,-72.32,2.67666,0.0,0,1.9427196580813402,0,1.943,6.0
REXR,Real Estate Investment Trusts,Finance,2133369.000000,38.283161,1.00552,4.792998,0,2.486275757816851,1.597666,4.084,7.0
WCLD,Investment Trusts Or Mutual Funds,Miscellaneous,643253.000000,207.6798,4.568697,0.0395,0,0,0,0,
AA,Aluminum,Non-Energy Minerals,3796374.000000,16.933132,2.89679,0.593824,0,0,0,0,9.0
EXR,Real Estate Investment Trusts,Finance,2497785.000000,30.404846,2.19342,4.64383,0,1.1397725925723299,1.5479433333333334,2.688,7.0
GOGO,Wireless Telecommunications,Communications,1407375.000000,42.811839,5.38686,0.0,0,0,0,0,
DINT,Investment Trusts Or Mutual Funds,Miscellaneous,9551.000000,18.018253,1.868785,1.5754,0,1.3377675869615822,0,1.338,
FORM,Semiconductors,Electronic Technology,2398888.000000,207.332181,10.7937,0.0,0,1.2942735114001687,0,1.294,4.0
UMICY,Other Metals/Minerals,Non-Energy Minerals,2495.000000,11.097561,1.83134,0.704915,1.3516483486776958,1.365120622058165,0,2.717,6.0
SREA,Gas Distributors,Utilities,26218.000000,,,0.0,0,0,0,0,
GIL,Apparel/Footwear,Consumer Non-Durables,823687.000000,22.194093,3.00737,1.611783,0,0,0,0,13.0
VGM,Investment Trusts/Mutual Funds,Miscellaneous,105336.000000,-17.6,1.00997,7.675248,0,2.4753210491400734,2.558416,5.034,
OSUR,Medical Specialties,Health Technology,543833.000000,-3.22,0.621656,0.0,0,8.23606624885789,0,8.236,
EA,Packaged Software,Technology Services,1702495.000000,76.009011,8.227,0.375401,0,1.0939589157651635,0,1.094,2.0
PFLT,Investment Trusts/Mutual Funds,Miscellaneous,605758.000000,24.842226,0.825839,14.203233,0,3.027224434786926,4.734411000000001,7.762,5.0
CB,Property/Casualty Insurance,Finance,1569981.000000,11.465184,1.72121,1.195317,1.308308702241499,1.4524665787440232,0,2.761,13.0
JBSS,Food: Specialty/Candy,Consumer Non-Durables,82300.000000,13.090412,2.47741,1.147081,1.1458768448235241,1.009118393806435,0,2.155,
Q,Electronic Equipment/Instruments,Electronic Technology,1419801.000000,43.546043,4.24835,0.04171,1.010424758915523,1.2004660632951616,0,2.211,9.0
BEAM,Biotechnology,Health Technology,2432370.000000,-28.71,2.39632,0.0,0,1.9947252453762438,0,1.995,17.0
PLMR,Property/Casualty Insurance,Finance,187300.000000,17.585774,3.54734,0.0,0,0,0,0,7.0
AXR,Real Estate Development,Finance,3704.000000,11.692359,1.07109,0.0,1.282889107322141,2.3340708997376503,0,3.617,
AVEX,Aerospace & Defense,Electronic Technology,1783813.000000,,15.1028,0.0,0,0,0,0,
TWST,Biotechnology,Health Technology,788478.000000,-47.86,8.19504,0.0,0,0,0,0,9.0
COHN,Investment Banks/Brokers,Finance,10838.000000,5.366628,0.973805,4.28449,2.795051194157672,2.5672490899101974,1.4281633333333332,6.79,
TER,Electronic Production Equipment,Electronic Technology,4332749.000000,115.886881,22.4438,0.121891,0,0,0,0,13.0
LHX,Aerospace & Defense,Electronic Technology,1346611.000000,37.593262,3.04946,1.513449,0,1.665868711181652,0,1.666,17.0
RITM,Real Estate Investment Trusts,Finance,7403590.000000,9.743886,0.799113,9.881423,1.5394268775312028,3.1284686896596603,3.2938076666666665,7.962,11.0
PBTP,Investment Trusts Or Mutual Funds,Miscellaneous,19931.000000,,,0.0,0,0,0,0,
PRG,Finance/Rental/Leasing,Finance,601900.000000,8.41824,1.60336,1.752646,1.7818451362755159,1.5592256261850115,0,3.341,6.0
NVT,Electronic Components,Electronic Technology,2066202.000000,54.434756,6.14409,0.57159,0,0,0,0,14.0
UNM,Multi-Line Insurance,Finance,1735763.000000,18.060271,1.14937,2.333722,0,2.1751046225323436,0,2.175,11.0
AEIS,Electronic Production Equipment,Electronic Technology,628348.000000,100.317328,10.6837,0.103713,0,0,0,0,8.0
NUTX,Medical/Nursing Services,Health Services,192083.000000,10.573785,2.38318,0.0,1.4186027047079166,1.049018538255608,0,2.468,
TMDX,Medical Specialties,Health Technology,1931323.000000,22.185288,7.8314,0.0,1.577622070986863,0,0,1.578,10.0
SVNDY,Food Retail,Retail Trade,330025.000000,14.88331,1.1761,1.301822,1.4781658112341947,2.465776719666695,0,3.944,8.0
EW,Medical Specialties,Health Technology,5837724.000000,45.34391,4.68825,0.0,0,1.0920919319575535,0,1.092,25.0
ALGT,Airlines,Transportation,343971.000000,-30.93,1.386,0.0,0,4.090909090909091,0,4.091,5.0
MICC,Food: Meat/Fish/Dairy,Consumer Non-Durables,1350942.000000,24.222222,10.9101,0.0,0,0,0,0,7.0
TRP,Oil & Gas Pipelines,Industrial Services,3656930.000000,26.460657,3.52806,4.006408,0,0,1.3354693333333334,1.335,13.0
CRWD,Packaged Software,Technology Services,1858594.000000,-614.5,26.0098,0.0,0,0,0,0,43.0
EBS,Pharmaceuticals: Major,Health Technology,337652.000000,8.655815,0.800542,0.0,9.242341709012958,6.495599231520645,0,15.738,
PENN,Casinos/Gaming,Consumer Services,3946923.000000,-2.66,1.28897,0.0,0,8.533945708589028,0,8.534,12.0
UUUU,Other Metals/Minerals,Non-Energy Minerals,8082308.000000,-55.48,7.55391,0.0,0,0,0,0,8.0
PFFR,Investment Trusts Or Mutual Funds,Miscellaneous,26195.000000,,,0.0,0,0,0,0,
GSEU,Investment Trusts Or Mutual Funds,Miscellaneous,6108.000000,16.37996,2.168326,2.9295,0,1.1529631614434361,0,1.153,
CRH,Construction Materials,Non-Energy Minerals,4110336.000000,21.175766,3.24997,1.285678,0,0,0,0,23.0
RUN,Semiconductors,Electronic Technology,6089188.000000,7.619437,0.971741,0.0,6.157935291019534,14.37625869444636,0,20.534,13.0
ACI,Food Retail,Retail Trade,4647275.000000,41.706519,3.40376,3.621002,0,0,1.2070006666666666,1.207,13.0
EXEL,Pharmaceuticals: Major,Health Technology,1983712.000000,16.081977,5.42255,0.0,4.974512772900994,0,0,4.975,10.0
LRN,Other Consumer Services,Consumer Services,1656358.000000,14.880699,2.69056,0.0,1.3440228849464666,2.044184110371075,0,3.388,
AZZ,Industrial Specialties,Process Industries,167546.000000,13.786602,3.23555,0.531841,1.088012840292336,0,0,1.088,6.0
MSCI,Financial Publishing/Services,Commercial Services,587673.000000,33.754055,-15.5313,1.260533,0,0,0,0,16.0
CRL,Miscellaneous Commercial Services,Commercial Services,623664.000000,-57.92,2.66301,0.0,0,0,0,0,12.0
SCHF,Investment Trusts Or Mutual Funds,Miscellaneous,8906143.000000,18.674871,2.201363,2.3797,0,1.1356600433458723,0,1.136,
CDP,Real Estate Investment Trusts,Finance,1866444.000000,24.110407,2.41552,3.821163,0,1.0349738358614295,1.2737209999999999,2.309,5.0
MLM,Construction Materials,Non-Energy Minerals,574582.000000,32.498508,3.66566,0.537925,0,0,0,0,14.0
