symbol,industry,sector,volume,pe_ratio,pb_ratio,dividend_yield,pe_comp,pb_comp,value_score,income_score,quality_score,yield_trap_flag,value_metric,buy_to_sell_ratio
MICC,Food: Meat/Fish/Dairy,Consumer Non-Durables,2240316.0,27.648148,12.4532,0.0,0.0,0.0,0.0,0.0,1.0,False,0.3,3.5
MIDD,Industrial Machinery,Producer Manufacturing,602853.0,-24.23,2.47342,0.0,0.0,1.0107462541743821,0.404,0.0,0.2,False,0.262,8.0
MIELY,Electrical Products,Producer Manufacturing,21839.0,30.214666,2.88684,0.00360132,0.0,0.0,0.0,0.0,0.4,False,0.12,13.0
MINT,Investment Trusts Or Mutual Funds,Miscellaneous,1958551.0,,,0.014159,0.0,0.0,0.0,0.0,0.3,False,0.09,0.0
MITK,Information Technology Services,Technology Services,827188.0,40.393519,2.70545,0.0,0.0,1.2160638710750522,0.486,0.0,0.7,False,0.453,0.0
MITSY,Chemicals: Major Diversified,Process Industries,846.0,18.813178,1.9996,0.018286610000000002,0.0,1.250250050010002,0.5,0.0,0.4,False,0.37,12.0
MKSI,Industrial Machinery,Producer Manufacturing,1285563.0,65.117613,7.01287,0.0032070500000000004,0.0,0.0,0.0,0.0,1.0,False,0.3,13.0
MKTX,Investment Banks/Brokers,Finance,665568.0,23.669628,4.90873,0.01946689,0.0,0.0,0.0,0.0,0.7,False,0.21,6.0
MLAA,Financial Conglomerates,Finance,6032.0,,,0.0,0.0,0.0,0.0,0.0,-0.3,False,-0.09,0.0
MLAB,Medical Specialties,Health Technology,218423.0,154.894672,2.95934,0.0064,0.0,1.7301154987260672,0.692,0.0,0.7,False,0.556,0.0
MLI,Metal Fabrication,Producer Manufacturing,369431.0,17.744091,4.49053,0.008122279999999999,0.0,0.0,0.0,0.0,0.7,False,0.21,0.0
MLKN,Office Equipment/Supplies,Producer Manufacturing,844005.0,114.123492,0.8233,0.046641789999999995,0.0,3.036560184622859,1.215,1.5,0.9,False,1.178,0.0
MLM,Construction Materials,Non-Energy Minerals,425995.0,14.758737,3.83506,0.005298270000000001,1.016347130516656,0.0,0.61,0.0,0.7,False,0.515,4.666666666666667
MLPB,Investment Trusts Or Mutual Funds,Miscellaneous,6246.0,,,0.045687,0.0,0.0,0.0,1.5,-0.1,False,0.27,0.0
MLPI,Investment Trusts Or Mutual Funds,Miscellaneous,254337.0,24.761805,3.672711,0.036368,0.0,0.0,0.0,1.2122666666666666,0.9,False,0.512,0.0
MLSS,Medical Specialties,Health Technology,576496.0,-4.83,8.86728,0.0,0.0,0.0,0.0,0.0,0.2,False,0.06,0.0
MMED,Medical Specialties,Health Technology,563535.0,,1.00096,0.0,0.0,5.115089514066496,2.046,0.0,0.2,False,1.083,11.0
MMI,Real Estate Development,Finance,172223.0,-565.31,1.77047,0.01799208,0.0,1.4120544262258043,0.565,0.0,0.2,False,0.342,0.0
MMM,Industrial Conglomerates,Producer Manufacturing,2757946.0,28.267161,23.4202,0.02027027,0.0,0.0,0.0,0.0,1.2,False,0.36,9.0
MMS,Miscellaneous Commercial Services,Commercial Services,559727.0,9.984328,2.08134,0.01874429,1.50235448995666,1.2011492596115965,1.382,0.0,0.7,False,0.901,0.0
MMSI,Medical Specialties,Health Technology,2443737.0,32.081686,2.55729,0.0,1.0909651070084037,2.0021194311165336,1.455,0.0,1.0,False,1.028,10.0
MNST,Beverages: Non-Alcoholic,Consumer Non-Durables,3173547.0,39.819168,9.1328,0.0,0.0,0.0,0.0,0.0,1.0,False,0.3,15.0
MOG.A,Aerospace & Defense,Electronic Technology,200815.0,33.896189,4.65916,0.00388304,0.0,1.0903252946883129,0.436,0.0,0.7,False,0.428,0.0
